Parent_Material_Num,Doc_Num
500313000523,9200011337Z
500313000523,9200011338Z
500313000523,9200011336Z
500313000523,9030001932Z
500313000523,9030001931Z
500313000523,9510000865Z
500313000523,9490006725Z
500313000523,9490006765Z
500313000524,9200011337Z
500313000524,9200011338Z
500313000524,9200011336Z
500313000524,9030001932Z
500313000524,9030001931Z
500313000524,9510000865Z
500313000524,9490006738Z
500313000524,9490006778Z
500313000525,9200011337Z
500313000525,9200011338Z
500313000525,9200011336Z
500313000525,9030001932Z
500313000525,9030001931Z
500313000525,9510000865Z
500313000525,9490006730Z
500313000525,9490006770Z
500313000526,9200011337Z
500313000526,9200011338Z
500313000526,9200011336Z
500313000526,9030001932Z
500313000526,9030001931Z
500313000526,9510000865Z
500313000526,9490006731Z
500313000526,9490006771Z
500313000527,9200011337Z
500313000527,9200011338Z
500313000527,9200011336Z
500313000527,9030001932Z
500313000527,9030001931Z
500313000527,9510000865Z
500313000527,9490006735Z
500313000527,9490006775Z
500313000528,9200011337Z
500313000528,9200011338Z
500313000528,9200011336Z
500313000528,9030001932Z
500313000528,9030001931Z
500313000528,9510000865Z
500313000528,9490006727Z
500313000528,9490006767Z
500313000529,9200011337Z
500313000529,9200011338Z
500313000529,9200011336Z
500313000529,9030001932Z
500313000529,9030001931Z
500313000529,9510000865Z
