Parent_Material_Num,Child_Material_Num
400430000178,141006000015
400430000178,141098000164
400430000178,143101000406
400430000178,143101000407
400430000178,143201000905
400430000178,143201000921
400430000178,143206000317
400430000178,143206000318
400430000178,143206000319
400430000178,143208000463
400430000178,341109003298
400430000178,400313000103
400430000178,400314000054
400430000177,141006000015
400430000177,141098000164
400430000177,143101000406
400430000177,143101000407
400430000177,143201000905
400430000177,143201000921
400430000177,143206000317
400430000177,143206000318
400430000177,143206000319
400430000177,143208000463
400430000177,341109003296
400430000177,400313000103
400430000177,400314000054
400430000176,141006000015
400430000176,141098000164
400430000176,143101000406
400430000176,143101000407
400430000176,143201000905
400430000176,143201000921
400430000176,143206000317
400430000176,143206000318
400430000176,143206000319
400430000176,143208000463
400430000176,341109003294
400430000176,400313000103
400430000176,400314000054
400430000175,141006000015
400430000175,141098000164
400430000175,143101000406
400430000175,143101000407
400430000175,143201000905
400430000175,143201000921
400430000175,143206000317
400430000175,143206000318
400430000175,143206000319
400430000175,143208000463
400430000175,341109003292
400430000175,400313000103
400430000175,400314000054
400430000174,141006000015
400430000174,141098000164
400430000174,143101000406
400430000174,143101000407
400430000174,143201000905
400430000174,143201000921
400430000174,143206000317
400430000174,143206000318
400430000174,143206000319
400430000174,143208000463
400430000174,341109003259
400430000174,400313000103
400430000174,400314000054
400430000173,141006000015
400430000173,141098000164
400430000173,143101000406
400430000173,143101000407
400430000173,143201000905
400430000173,143201000921
400430000173,143206000317
400430000173,143206000318
400430000173,143206000319
400430000173,143208000463
400430000173,341109003260
400430000173,400313000103
400430000173,400314000054
400430000172,141006000015
400430000172,141098000164
400430000172,143101000406
400430000172,143101000407
400430000172,143201000905
400430000172,143201000921
400430000172,143206000317
400430000172,143206000318
400430000172,143206000319
400430000172,143208000463
400430000172,341109003263
400430000172,400313000103
400430000172,400314000054
400430000171,141006000015
400430000171,141098000164
400430000171,143101000406
400430000171,143101000407
400430000171,143201000905
400430000171,143201000921
400430000171,143206000317
400430000171,143206000318
400430000171,143206000319
400430000171,143208000463
400430000171,341109003261
400430000171,400313000103
400430000171,400314000054
400430000170,141006000015
400430000170,141098000164
400430000170,143101000406
400430000170,143101000407
400430000170,143201000905
400430000170,143201000921
400430000170,143206000317
400430000170,143206000318
400430000170,143206000319
400430000170,143208000463
400430000170,341109003264
400430000170,400313000103
400430000170,400314000054
400430000169,141006000015
400430000169,141098000164
400430000169,143101000406
400430000169,143101000407
400430000169,143201000905
400430000169,143201000921
400430000169,143206000317
400430000169,143206000318
400430000169,143206000319
400430000169,143208000463
400430000169,341109003262
400430000169,400313000103
400430000169,400314000054
400430000168,141006000015
400430000168,141098000164
400430000168,143101000406
400430000168,143101000407
400430000168,143201000905
400430000168,143201000921
400430000168,143206000317
400430000168,143206000318
400430000168,143206000319
400430000168,143208000463
400430000168,341109003270
400430000168,400313000103
400430000168,400314000054
400430000167,141006000015
400430000167,141098000164
400430000167,143101000406
400430000167,143101000407
400430000167,143201000905
400430000167,143201000921
400430000167,143206000317
400430000167,143206000318
400430000167,143206000319
400430000167,143208000463
400430000167,341109003266
400430000167,400313000103
400430000167,400314000054
400430000166,141006000015
400430000166,141098000164
400430000166,143101000406
400430000166,143101000407
400430000166,143201000905
400430000166,143201000921
400430000166,143206000317
400430000166,143206000318
400430000166,143206000319
400430000166,143208000463
400430000166,341109003267
400430000166,400313000103
400430000166,400314000054
400430000165,141006000015
400430000165,141098000164
400430000165,143101000406
400430000165,143101000407
400430000165,143201000905
400430000165,143201000921
400430000165,143206000317
400430000165,143206000318
400430000165,143206000319
400430000165,143208000463
400430000165,341109003265
400430000165,400313000103
400430000165,400314000054
400430000164,141006000015
400430000164,141098000164
400430000164,143101000406
400430000164,143101000407
400430000164,143201000905
400430000164,143201000921
400430000164,143206000317
400430000164,143206000318
400430000164,143206000319
400430000164,143208000463
400430000164,341109003269
400430000164,400313000103
400430000164,400314000054
400430000163,141006000015
400430000163,141098000164
400430000163,143101000406
400430000163,143101000407
400430000163,143201000905
400430000163,143201000921
400430000163,143206000317
400430000163,143206000318
400430000163,143206000319
400430000163,143208000463
400430000163,341109003268
400430000163,400313000103
400430000163,400314000054
400430000162,141006000015
400430000162,141098000164
400430000162,143101000406
400430000162,143101000407
400430000162,143201000905
400430000162,143201000921
400430000162,143206000317
400430000162,143206000318
400430000162,143206000319
400430000162,143208000463
400430000162,341109003271
400430000162,400313000103
400430000162,400314000054
400430000161,141006000015
400430000161,141098000164
400430000161,143101000406
400430000161,143101000407
400430000161,143201000905
400430000161,143201000921
400430000161,143206000317
400430000161,143206000318
400430000161,143206000319
400430000161,143208000463
400430000161,341109003273
400430000161,400313000103
400430000161,400314000054
400430000160,141006000015
400430000160,141098000164
400430000160,143101000406
400430000160,143101000407
400430000160,143201000905
400430000160,143201000921
400430000160,143206000317
400430000160,143206000318
400430000160,143206000319
400430000160,143208000463
400430000160,341109003274
400430000160,400313000103
400430000160,400314000054
400430000159,141006000015
400430000159,141098000164
400430000159,143101000406
400430000159,143101000407
400430000159,143201000905
400430000159,143201000921
400430000159,143206000317
400430000159,143206000318
400430000159,143206000319
400430000159,143208000463
400430000159,341109003272
400430000159,400313000103
400430000159,400314000054
400430000158,141006000015
400430000158,141098000164
400430000158,143101000406
400430000158,143101000407
400430000158,143201000905
400430000158,143201000921
400430000158,143206000317
400430000158,143206000318
400430000158,143206000319
400430000158,143208000463
400430000158,341109003275
400430000158,400313000103
400430000158,400314000054
400430000157,141006000015
400430000157,141098000164
400430000157,143101000406
400430000157,143101000407
400430000157,143201000905
400430000157,143201000921
400430000157,143206000317
400430000157,143206000318
400430000157,143206000319
400430000157,143208000463
400430000157,341109003276
400430000157,400313000103
400430000157,400314000054
400430000156,141006000015
400430000156,141098000164
400430000156,143101000406
400430000156,143101000407
400430000156,143201000905
400430000156,143201000921
400430000156,143206000317
400430000156,143206000318
400430000156,143206000319
400430000156,143208000463
400430000156,341109003282
400430000156,400313000103
400430000156,400314000054
400430000155,141006000015
400430000155,141098000164
400430000155,143101000406
400430000155,143101000407
400430000155,143201000905
400430000155,143201000921
400430000155,143206000317
400430000155,143206000318
400430000155,143206000319
400430000155,143208000463
400430000155,341109003280
400430000155,400313000103
400430000155,400314000054
400430000154,141006000015
400430000154,141098000164
400430000154,143101000406
400430000154,143101000407
400430000154,143201000905
400430000154,143201000921
400430000154,143206000317
400430000154,143206000318
400430000154,143206000319
400430000154,143208000463
400430000154,341109003277
400430000154,400313000103
400430000154,400314000054
400430000153,141006000015
400430000153,141098000164
400430000153,143101000406
400430000153,143101000407
400430000153,143201000905
400430000153,143201000921
400430000153,143206000317
400430000153,143206000318
400430000153,143206000319
400430000153,143208000463
400430000153,341109003278
400430000153,400313000103
400430000153,400314000054
400430000152,141006000015
400430000152,141098000164
400430000152,143101000406
400430000152,143101000407
400430000152,143201000905
400430000152,143201000921
400430000152,143206000317
400430000152,143206000318
400430000152,143206000319
400430000152,143208000463
400430000152,341109003279
400430000152,400313000103
400430000152,400314000054
400430000151,141006000015
400430000151,141098000164
400430000151,143101000406
400430000151,143101000407
400430000151,143201000905
400430000151,143201000921
400430000151,143206000317
400430000151,143206000318
400430000151,143206000319
400430000151,143208000463
400430000151,341109003281
400430000151,400313000103
400430000151,400314000054
400430000150,141006000015
400430000150,141098000164
400430000150,143101000406
400430000150,143101000407
400430000150,143201000905
400430000150,143201000921
400430000150,143206000317
400430000150,143206000318
400430000150,143206000319
400430000150,143208000463
400430000150,341109003287
400430000150,400313000103
400430000150,400314000054
400430000149,141006000015
400430000149,141098000164
400430000149,143101000406
400430000149,143101000407
400430000149,143201000905
400430000149,143201000921
400430000149,143206000317
400430000149,143206000318
400430000149,143206000319
400430000149,143208000463
400430000149,341109003284
400430000149,400313000103
400430000149,400314000054
400430000148,141006000015
400430000148,141098000164
400430000148,143101000406
400430000148,143101000407
400430000148,143201000905
400430000148,143201000921
400430000148,143206000317
400430000148,143206000318
400430000148,143206000319
400430000148,143208000463
400430000148,341109003285
400430000148,400313000103
400430000148,400314000054
400430000147,141006000015
400430000147,141098000164
400430000147,143101000406
400430000147,143101000407
400430000147,143201000905
400430000147,143201000921
400430000147,143206000317
400430000147,143206000318
400430000147,143206000319
400430000147,143208000463
400430000147,341109003288
400430000147,400313000103
400430000147,400314000054
400430000146,141006000015
400430000146,141098000164
400430000146,143101000406
400430000146,143101000407
400430000146,143201000905
400430000146,143201000921
400430000146,143206000317
400430000146,143206000318
400430000146,143206000319
400430000146,143208000463
400430000146,341109003286
400430000146,400313000103
400430000146,400314000054
400430000145,141006000015
400430000145,141098000164
400430000145,143101000406
400430000145,143101000407
400430000145,143201000905
400430000145,143201000921
400430000145,143206000317
400430000145,143206000318
400430000145,143206000319
400430000145,143208000463
400430000145,341109003290
400430000145,400313000103
400430000145,400314000054
400430000026,141006000015
400430000026,141098000164
400430000026,143101000406
400430000026,143101000407
400430000026,143201000905
400430000026,143201000921
400430000026,143206000317
400430000026,143206000318
400430000026,143206000319
400430000026,143208000463
400430000026,341109003283
400430000026,400313000103
400430000026,400314000054
400409000514,149103000356
400409000514,149104000450
400409000514,149104000484
400409000514,149104000485
400409000514,149105000751
400409000514,149105000818
400409000490,149103000356
400409000490,149104000450
400409000490,149104000484
400409000490,149104000485
400409000490,149105000751
400409000490,149105000818
400314000054,141098000024
400314000054,141098000164
400314000054,141098000173
400314000054,142101001161
400314000054,142101001281
400314000054,143203000974
400314000054,199813000169
400314000054,299901000101
400314000054,299902000063
400314000053,141098000024
400314000053,141098000164
400314000053,141098000173
400314000053,142101001161
400314000053,142101001281
400314000053,143203000974
400314000053,199813000150
400314000053,299901000101
400314000053,299902000063
400313000103,141098000024
400313000103,141098000164
400313000103,141098000173
400313000103,142101001161
400313000103,142101001281
400313000103,143203000974
400313000103,199813000147
400313000103,299901000101
400313000103,299902000063
199813000147,142101000962
199813000147,142101001133
199813000147,142101001141
199813000147,142101001168
199813000147,142101001191
199813000147,142101001208
199813000147,142101001261
199813000147,142211000023
199813000147,142217000437
199813000147,142217000438
199813000147,142301000171
199813000147,142301000259
199813000147,142301000543
199813000147,142302000356
199813000147,142317000004
199813000147,142317000027
199813000147,142317000028
199813000147,142317000030
199813000147,142317000038
199813000147,142317000039
199813000147,142317000046
199813000147,142317000140
199813000147,142317000141
199813000147,142317000142
199813000147,142401000147
199813000147,142411000138
199813000147,142419000006
199813000147,142705000079
